1,"… und das Gespensterschloss",1,11,1968,1980
2,"… und der Super-Papagei",8,1,1972,1979
3,"… und die flüsternde Mumie",2,10,1969,1980
4,"… und der grüne Geist",14,8,1975,1979
5,"… und der verschwundene Schatz",10,22,1973,1981
6,"… und die Geisterinsel",11,18,1973,1980
7,"… und der Fluch des Rubins",3,5,1970,1979
8,"… und die silberne Spinne",26,24,1981,1981
9,"… und der seltsame Wecker",4,12,1970,1980
10,"… und der Teufelsberg",13,19,1974,1980
11,"… und der sprechende Totenkopf",5,6,1971,1979
12,"… und der lachende Schatten",6,13,1971,1980
13,"… und die schwarze Katze",7,4,1971,1979
14,"… und der unheimliche Drache",9,7,1972,1979
15,"… und die flammende Spur",22,20,1979,1980
16,"… und der rasende Löwe",12,15,1974,1980
17,"… und die singende Schlange",15,25,1975,1981
18,"… und die rätselhaften Bilder",16,9,1976,1979
19,"… und der Phantomsee",18,2,1977,1979
20,"… und das Bergmonster",17,14,1976,1980
21,"… und der Zauberspiegel",19,16,1977,1980
22,"… und die gefährliche Erbschaft",20,17,1978,1980
23,"… und der Karpatenhund",21,3,1978,1979
24,"… und die Silbermine",24,26,1980,1981
25,"… und der Tanzende Teufel",23,21,1979,1980
26,"… und das Aztekenschwert",25,23,1980,1981
27,"… und der magische Kreis",27,27,1981,1981
28,"… und der Doppelgänger",28,28,1982,1982
29,"Die Original-Musik der Europa-Jugendserie",,29,,1982
30,"… und der Ameisenmensch",31,32,1983,1983
31,"… und das Riff der Haie",29,30,1982,1982
32,"… und das Narbengesicht[Anm. 2][3]",30,31,1982,1983
33,"… und die bedrohte Ranch",32,33,1983,1983
34,"… und der Rote Pirat",33,34,1984,1984
35,"… und der Höhlenmensch",34,35,1984,1984
36,"… und der Super-Wal",35,36,1985,1985
37,"… und der heimliche Hehler",36,37,1985,1985
38,"… und die Perlenvögel",38,39,1986,1986
39,"… und der Automarder",39,40,1987,1986
40,"… und der unsichtbare Gegner",37,38,1986,1986
41,"… und der gestohlene Preis",43,44,1988,1988
42,"… und der höllische Werwolf",42,43,1988,1988
43,"… und das Gold der Wikinger",44,45,1989,1989
44,"… und der schrullige Millionär",45,46,1989,1989
45,"… und der weinende Sarg",41,42,1988,1987
46,"… und das Volk der Winde",40,41,1987,1987
47,"House of Horrors – Haus der Angst",TSE1#2,TSE1#2,2011,2011
48,"Savage Statue – Grausame Göttin",TSE2#3,TSE2#3,2014,
49,"… und die Automafia",49,53,1991,1991
50,"… und der giftige Gockel",48,47,1990,1990
51,"… und die gefährlichen Fässer",47,48,1990,1990
52,"… und die Comic-Diebe",46,49,1990,1990
53,"… und der riskante Ritt",52,51,1991,1991
54,"… und der verschwundene Filmstar",51,50,1991,1991
55,"… und die Musikpiraten",50,52,1991,1991
56,"Shoot the works – Im Visier",TSE2#2,TSE2#2,2014,
57,"Gefahr im Verzug",54,54,1992,1992
58,"Gekaufte Spieler",53,55,1992,1992
59,"Angriff der Computerviren",55,56,1992,1992
60,"Brainwash – Gefangene Gedanken",TSE1#1,TSE1#1,2011,2011
61,"High Strung – Unter Hochspannung",TSE1#3,TSE1#3,2011,2011
62,"Tatort Zirkus",56,57,1993,1994
63,"… und der verrückte Maler",57,58,1993,1994
64,"Giftiges Wasser",58,59,1993,1994
65,"Dopingmixer",59,60,1994,1994
66,"… und die Rache des Tigers",60,61,1994,1995
67,"Spuk im Hotel",61,62,1994,1995
68,"Fußball-Gangster",62,63,1995,1995
69,"Geisterstadt",63,64,1995,1995
70,"Diamantenschmuggel",64,65,1995,1995
71,"… und die Schattenmänner",65,66,1995,1995
72,"Geheimnis der Särge",66,67,1996,1996
73,"Schatz im Bergsee",67,68,1996,1996
74,"Späte Rache",68,69,1996,1996
75,"Schüsse aus dem Dunkel",69,70,1996,1996
76,"Die verschwundene Seglerin",70,71,1996,1996
77,"Dreckiger Deal",71,72,1996,1996
78,"Die Spur des Raben",72,75,1997,1997
79,"Poltergeist",73,73,1997,1997
80,"… und das brennende Schwert",74,74,1997,1997
81,"Pistenteufel",75,77,1997,1997
82,"Stimmen aus dem Nichts",76,76,1997,1997
83,"Das leere Grab",77,78,1997,1998
84,"Verdeckte Fouls",78,81,1998,1998
85,"Im Bann des Voodoo",79,79,1998,1998
86,"Geheimsache Ufo",80,80,1998,1998
87,"Meuterei auf hoher See",81,83,1998,1999
88,"Musik des Teufels",82,84,1998,1999
89,"Die Karten des Bösen",83,82,1998,1998
90,"Wolfsgesicht",84,87,1999,1999
91,"Nacht in Angst",85,86,1999,1999
92,"Feuerturm",86,85,1999,1999
93,"Tödliche Spur",87,89,1999,2000
94,"Vampir im Internet",88,88,1999,1999
95,"… und das Geisterschiff",89,93,2000,2000
96,"Todesflug",90,92,2000,2000
97,"Labyrinth der Götter",91,91,2000,2000
98,"… und der rote Rächer",92,96,2000,2001
99,"Das schwarze Monster",93,94,2000,2000
100,"Botschaft von Geisterhand",94,95,2000,2001
101,"Insektenstachel",95,97,2001,2001
102,"Rufmord",96,99,2001,2001
103,"Tal des Schreckens",97,98,2001,2001
104,"Doppelte Täuschung",98,102,2001,2002
105,"… und das Hexenhandy",99,101,2001,2001
106,"Toteninsel",100,100,2001,2001
107,"Das Erbe des Meisterdiebs",101,103,2002,2002
108,"Gift per E-Mail",102,104,2002,2002
109,"… und der Nebelberg",103,105,2002,2002
110,"Der Mann ohne Kopf",104,106,2002,2002
111,"… und der Schatz der Mönche",105,107,2002,2003
