ICWD22-A,Vorgeschichte
ITL327-AP,Der Kolumbusfalter
ITL337-AP,Die Zebramuschel
ITL342-AP,Der Gespensterschatz
ITL309-A,Donald im Jahre 2001
ICWD24-A,Vorgeschichte
ITL303-AP,Das ewige Feuer
ITL358-AP,Der Fall XYZ
ITL279-BP,Das fidele Gefängnis
ITL293-BP,Südseezauber
ICWD23-A,Vorgeschichte
ITL314-AP,Die Männchen aus dem Weltall
ITL148-AP,Der verteufelte Druckfehler
ITL330-BP,Der Gürtel aus dem Morgenland
ITL298-AP,Die Tarnfarbe
ICWD25-A,Vorgeschichte
ITL370-A,In geheimer Mission
ITL383-AP,Die Taler-Arche
ITL295-A,Die wertvolle Unterschrift
ITL279-A,Das Pistolenduell
ITL306-AP,Das Märchen von Donald Aschenputtel
ICWD26-A,Vorgeschichte
ITL357-A,Die alte Schreibmaschine
ITL359-B,Die Luft-Schutz-Aktion
ITL426-AP,Allein auf einer Insel
ITL366-B,Der Alleinerbe
ITL382-A,Ölfieber
ICWD28-A,Vorgeschichte
ITL266-BP,Micky löst das Rätsel von Kariba
ITL384-C,Micky und Goofy in den Fängen der Spionageabwehr
ITL417-B,Astronaut Micky
ITL234-AP,Die Reise zum Mond
ITL432-A,Wer entführt wen?
"",Wer entführt wen?
ICWD27-A,Vorgeschichte
ITL101-AP,Donald eröffnet eine Musterschule!
ITL385-A,Daniel Düsentrieb als Eulenspiegel
ITL302-AP,Auf der Suche nach dem Füllhorn
ITL386-A,Onkel Dagobert ist ein Schatz
ITL285-A,Donald und der Goldspürhund
ICWD10-A,Vorgeschichte
ITL195-AP,Die Unglücksschule
ITL174-AP,Der Fliegende Schotte
"WOS649-01(-02,-03,-04,-05,-06)",Das Filmfestival
"WUSGD1-01(-02,-05,-06)",Der Zauberspiegel
ICWD18-A,Vorgeschichte
ITL230-AP,Micky Maus und die Irokesenkette
ITL269-BP,Micky und die Erbschaft von Goofy Goofinger
