1,I CWD22-A,Vorgeschichte,Rahmengeschichte,Prologo a Tutto Paperino,Italien,37
2,I TL 327-AP,Der Kolumbusfalter,"Historisches Thema,Abenteuer",Paperino e la farfalla di Colombo,Italien,60
3,I TL 337-AP,Die Zebramuschel,"Abenteuer,Dagobert in Not",Paperino e le conchiglie zebrate,Italien,54
4,I TL 342-AP,Der Gespensterschatz,"Mystery,Schatzsuche",Paperino e il fantasma conteso,Italien,60
5,I TL309-A,Donald im Jahre 2001,"Zeitreisen,Science-Fiction",Paperino... Anno 2001,Italien,39
6,I CWD22-A,Vorgeschichte,Rahmengeschichte,Prologo a Tutto Paperino,Italien,37
7,I TL 327-AP,Der Kolumbusfalter,"Historisches Thema,Abenteuer",Paperino e la farfalla di Colombo,Italien,60
8,I TL 337-AP,Die Zebramuschel,"Abenteuer,Dagobert in Not",Paperino e le conchiglie zebrate,Italien,54
9,I TL 342-AP,Der Gespensterschatz,"Mystery,Schatzsuche",Paperino e il fantasma conteso,Italien,60
10,I TL309-A,Donald im Jahre 2001,"Zeitreisen,Science-Fiction",Paperino... Anno 2001,Italien,39
11,I CWD22-A,Vorgeschichte,Rahmengeschichte,Prologo a Tutto Paperino,Italien,37
12,I TL 327-AP,Der Kolumbusfalter,"Historisches Thema,Abenteuer",Paperino e la farfalla di Colombo,Italien,60
13,I TL 337-AP,Die Zebramuschel,"Abenteuer,Dagobert in Not",Paperino e le conchiglie zebrate,Italien,54
14,I TL 342-AP,Der Gespensterschatz,"Mystery,Schatzsuche",Paperino e il fantasma conteso,Italien,60
15,I TL309-A,Donald im Jahre 2001,"Zeitreisen,Science-Fiction",Paperino... Anno 2001,Italien,39
16,I CWD24-A,Vorgeschichte,Rahmengeschichte,"Prologo a Pronto, Topolino?",Italien,27
17,I TL 303-AP,Das ewige Feuer,"Schatzsuche,Abenteuer",Topolino e la fiamma eterna di Kalhoa,Italien,63
18,I TL 358-AP,Der Fall XYZ,Kriminalgeschichte,Topolino e i casi X Y Z,Italien,63
19,I TL 279-BP,Das fidele Gefängnis,Kriminalgeschichte,Topolino e le evasioni impossibili,Italien,37
20,I TL 293-BP,Südseezauber,Abenteuer,Topolino e le vacanze al 20Â° parallelo,Italien,60
21,I CWD24-A,Vorgeschichte,Rahmengeschichte,"Prologo a Pronto, Topolino?",Italien,27
22,I TL 303-AP,Das ewige Feuer der Königin Kalhoa,"Schatzsuche,Abenteuer",Topolino e la fiamma eterna di Kalhoa,Italien,63
23,I TL 358-AP,Der Fall XYZ,Kriminalgeschichte,Topolino e i casi X Y Z,Italien,63
24,I TL 279-BP,Das fidele Gefängnis,Kriminalgeschichte,Topolino e le evasioni impossibili,Italien,37
25,I TL 293-BP,Südseezauber,Abenteuer,Topolino e le vacanze al 20Â° parallelo,Italien,60
26,I CWD24-A,Vorgeschichte,Rahmengeschichte,"Prologo a Pronto, Topolino?",Italien,27
27,I TL 303-AP,Das ewige Feuer der Königin Kalhoa,"Schatzsuche,Abenteuer",Topolino e la fiamma eterna di Kalhoa,Italien,63
28,I TL 358-AP,Der Fall XYZ,Kriminalgeschichte,Topolino e i casi X Y Z,Italien,63
29,I TL 279-BP,Das fidele Gefängnis,Kriminalgeschichte,Topolino e le evasioni impossibili,Italien,37
30,I TL 293-BP,Südseezauber,Abenteuer,Topolino e le vacanze al 20Â° parallelo,Italien,60
31,I CWD23-A,Vorgeschichte,Rahmengeschichte,Prologo a Il trilione,Italien,28
32,I TL 314-AP,Die Männchen aus dem Weltall,"Science-Fiction,Dagobert in Not,Düsentrieb´sche Erfindungen",Paperino e il mistero dei ladri spaziali,Italien,56
33,I TL 148-AP,Der verteufelte Druckfehler,"Schatzsuche,Abenteuer",Paperino e la caccia all'errore,Italien,58
34,I TL 330-BP,Der Gürtel aus dem Morgenland,"Schatzsuche,Abenteuer",Paperon De' Paperoni e la cintura del bucariota,Italien,58
35,I TL 298-AP,Die Tarnfarbe,"Düsentrieb´sche Erfindungen,Dagobert in Not,Kriminalgeschichte",Paperino e la vernice invisibile,Italien,50
36,I CWD23-A,Vorgeschichte,Rahmengeschichte,Prologo a Il trilione,Italien,28
37,I TL 314-AP,Die Männchen aus dem Weltall,"Science-Fiction,Dagobert in Not,Düsentrieb´sche Erfindungen",Paperino e il mistero dei ladri spaziali,Italien,56
38,I TL 148-AP,Der verteufelte Druckfehler,"Schatzsuche,Abenteuer",Paperino e la caccia all'errore,Italien,58
39,I TL 330-BP,Der Gürtel aus dem Morgenland,"Schatzsuche,Abenteuer",Paperon De' Paperoni e la cintura del bucariota,Italien,58
40,I TL 298-AP,Die Tarnfarbe,"Düsentrieb´sche Erfindungen,Dagobert in Not,Kriminalgeschichte",Paperino e la vernice invisibile,Italien,50
41,I CWD23-A,Vorgeschichte,Rahmengeschichte,Prologo a Il trilione,Italien,28
42,I TL 314-AP,Die Männchen aus dem Weltall,"Science-Fiction,Dagobert in Not,Düsentrieb´sche Erfindungen",Paperino e il mistero dei ladri spaziali,Italien,56
43,I TL 148-AP,Der verteufelte Druckfehler,"Schatzsuche,Abenteuer",Paperino e la caccia all'errore,Italien,58
44,I TL 330-BP,Der Gürtel aus dem Morgenland,"Schatzsuche,Abenteuer",Paperon De' Paperoni e la cintura del bucariota,Italien,58
45,I TL 298-AP,Die Tarnfarbe,"Düsentrieb´sche Erfindungen,Dagobert in Not,Kriminalgeschichte",Paperino e la vernice invisibile,Italien,50
46,I CWD25-A,Vorgeschichte,Rahmengeschichte,Prologo a Paperino bang,Italien,29
47,I TL370-A,In geheimer Mission,"Kriminalgeschichte,Abenteuer",Paperino e la gloria nazionale,Italien,34
48,I TL 383-AP,Die Taler-Arche,"Historisches Thema,Dagobert in Not",L'arca di Paperon-NoÃ¨,Italien,57
49,I TL295-A,Die wertvolle Unterschrift,Dagobert in Not,Paperino e la ventiquattresima ora,Italien,40
50,I TL279-A,Das Pistolenduell,"Film Parodie,Wild West",Paperino e il duello alla pistola,Italien,30
51,I TL 306-AP,Das Märchen von Donald Aschenputtel,Literarische Parodie,Le avventure di Paperin Cenerentolo,Italien,60
52,I CWD25-A,Vorgeschichte,Rahmengeschichte,Prologo a Paperino bang,Italien,29
53,I TL370-A,Donald in geheimer Mission,"Kriminalgeschichte,Abenteuer",Paperino e la gloria nazionale,Italien,34
54,I TL 383-AP,Onkel Dagoberts Arche Noah,"Historisches Thema,Dagobert in Not",L'arca di Paperon-NoÃ¨,Italien,57
55,I TL295-A,Onkel Dagoberts Unterschrift ist Gold wert!,Dagobert in Not,Paperino e la ventiquattresima ora,Italien,40
56,I TL279-A,Donald und das Pistolenduell,"Film Parodie,Wild West",Paperino e il duello alla pistola,Italien,30
57,I TL 306-AP,Das Märchen von Donald Aschenputtel,Literarische Parodie,Le avventure di Paperin Cenerentolo,Italien,60
58,I CWD25-A,Vorgeschichte,Rahmengeschichte,Prologo a Paperino bang,Italien,29
59,I TL370-A,Donald in geheimer Mission,"Kriminalgeschichte,Abenteuer",Paperino e la gloria nazionale,Italien,34
60,I TL 383-AP,Onkel Dagoberts Arche Noah,"Historisches Thema,Dagobert in Not",L'arca di Paperon-NoÃ¨,Italien,57
61,I TL295-A,Onkel Dagoberts Unterschrift ist Gold wert!,Dagobert in Not,Paperino e la ventiquattresima ora,Italien,40
62,I TL279-A,Donald und das Pistolenduell,"Film Parodie,Wild West",Paperino e il duello alla pistola,Italien,30
63,I TL 306-AP,Das Märchen von Donald Aschenputtel,Literarische Parodie,Le avventure di Paperin Cenerentolo,Italien,60
64,I CWD26-A,Vorgeschichte,Rahmengeschichte,Prologo a Paperone '68,Italien,39
65,I TL357-A,Die alte Schreibmaschine,"Wirtschaftskampf,Schatzsuche",Zio Paperone e il clavicembalo scrivano,Italien,40
66,I TL359-B,Die Luft-Schutz-Aktion,"Dagobert in Not,Düsentrieb´sche Erfindungen",Zio Paperone e il ricovero antifungo,Italien,35
67,I TL 426-AP,Allein auf einer Insel,"Abenteuer,Dagobert in Not",Zio Paperone naufrago volontario,Italien,69
68,I TL366-B,Der Alleinerbe,"Dagobert in Not,Gagstory",Zio Paperone e l'ereditÃ  universale,Italien,33
69,I TL382-A,Ölfieber,Wirtschaftskampf,Zio Paperone e il petrolio proibito,Italien,33
70,I CWD26-A,Vorgeschichte,Rahmengeschichte,Prologo a Paperone '68,Italien,39
71,I TL357-A,Onkel Dagoberts alte Schreibmaschine,"Wirtschaftskampf,Schatzsuche",Zio Paperone e il clavicembalo scrivano,Italien,40
72,I TL359-B,Onkel Dagobert sucht Schutz,"Dagobert in Not,Düsentrieb´sche Erfindungen",Zio Paperone e il ricovero antifungo,Italien,35
73,I TL 426-AP,Onkel Dagobert allein auf einer Insel,"Abenteuer,Dagobert in Not",Zio Paperone naufrago volontario,Italien,69
74,I TL366-B,Onkel Dagobert als Alleinerbe,"Dagobert in Not,Gagstory",Zio Paperone e l'ereditÃ  universale,Italien,33
75,I TL382-A,Onkel Dagobert leidet am Ölfieber,Wirtschaftskampf,Zio Paperone e il petrolio proibito,Italien,33
76,I CWD26-A,Vorgeschichte,Rahmengeschichte,Prologo a Paperone '68,Italien,39
77,I TL357-A,Onkel Dagoberts alte Schreibmaschine,"Wirtschaftskampf,Schatzsuche",Zio Paperone e il clavicembalo scrivano,Italien,40
78,I TL359-B,Onkel Dagobert sucht Schutz,"Dagobert in Not,Düsentrieb´sche Erfindungen",Zio Paperone e il ricovero antifungo,Italien,35
79,I TL 426-AP,Onkel Dagobert allein auf einer Insel,"Abenteuer,Dagobert in Not",Zio Paperone naufrago volontario,Italien,69
80,I TL366-B,Onkel Dagobert als Alleinerbe,"Dagobert in Not,Gagstory",Zio Paperone e l'ereditÃ  universale,Italien,33
81,I TL382-A,Onkel Dagobert leidet am Ölfieber,Wirtschaftskampf,Zio Paperone e il petrolio proibito,Italien,33
82,I CWD28-A,Vorgeschichte,Rahmengeschichte,Prologo a Topolino ole',Italien,38
83,I TL 266-BP,Das Rätsel von Kariba,"Kriminalgeschichte,Abenteuer",Topolino nella valle di Kariba,Italien,61
84,I TL384-C,In den Fängen der Spionageabwehr,Kriminalgeschichte,Topolino e l'ingranaggio del controspionaggio,Italien,30
85,I TL417-B,Astronaut Micky,"Abenteuer,Kriminalgeschichte",Topolino e l'impresa cosmosubacquea,Italien,31
86,I TL 234-AP,Die Reise zum Mond,Science-Fiction,Astralpippo n. 9999 !,Italien,60
87,,Wer entführt wen?,,,,0
88,I CWD28-A,Vorgeschichte,Rahmengeschichte,Prologo a Topolino ole',Italien,38
89,I TL 266-BP,Micky löst das Rätsel von Kariba,"Kriminalgeschichte,Abenteuer",Topolino nella valle di Kariba,Italien,61
90,I TL384-C,Micky und Goofy in den Fängen der Spionageabwehr,Kriminalgeschichte,Topolino e l'ingranaggio del controspionaggio,Italien,30
91,I TL417-B,Astronaut Micky,"Abenteuer,Kriminalgeschichte",Topolino e l'impresa cosmosubacquea,Italien,31
92,I TL 234-AP,Die Reise zum Mond,Science-Fiction,Astralpippo n. 9999 !,Italien,60
93,I TL432-A,Wer entführt wen?,"Wild West,Kriminalgeschichte",Topolino e le rapine facili,Italien,30
94,I CWD28-A,Vorgeschichte,Rahmengeschichte,Prologo a Topolino ole',Italien,38
95,I TL 266-BP,Micky löst das Rätsel von Kariba,"Kriminalgeschichte,Abenteuer",Topolino nella valle di Kariba,Italien,61
96,I TL384-C,Micky und Goofy in den Fängen der Spionageabwehr,Kriminalgeschichte,Topolino e l'ingranaggio del controspionaggio,Italien,30
97,I TL417-B,Astronaut Micky,"Abenteuer,Kriminalgeschichte",Topolino e l'impresa cosmosubacquea,Italien,31
98,I TL 234-AP,Die Reise zum Mond,Science-Fiction,Astralpippo n. 9999 !,Italien,60
99,I TL432-A,Wer entführt wen?,"Wild West,Kriminalgeschichte",Topolino e le rapine facili,Italien,30
100,I CWD27-A,Vorgeschichte,Rahmengeschichte,Prologo a Paperino cocktail,Italien,28
101,I TL 101-AP,Die Musterschule,Gagstory,Paperino e la scuola modello,Italien,58
102,I TL385-A,Der Eulenspiegel geht um,Science-Fiction,Archimede e il signor Scherzo,Italien,38
103,I TL 302-AP,Die Suche nach dem Füllhorn,"Schatzsuche,Historisches Thema",Paperino e il corno dell'abbondanza,Italien,60
